Chemical	Time
VPA	1742
serotonin	1385
GABA	1192
risperidone	1059
5-HT	831
AQ	773
glutamate	762
calcium	747
dopamine	708
vitamin D	697
melatonin	651
oxytocin	644
mercury	639
valproic acid	619
cortisol	528
aripiprazole	485
testosterone	477
BTBR	471
water	387
folate	371
alcohol	369
glutathione	364
BPA	324
DA	319
LPS	312
folic acid	302
lipid	277
PPA	276
cholesterol	270
Ca2+	269
creatine	246
iron	232
DHA	221
Risperidone	221
valproate	217
oxygen	216
Vitamin D	216
gamma-aminobutyric acid	208
RRBs	201
Pb	192
tryptophan	187
metal	185
sodium	185
GSH	182
methylphenidate	179
Cr	176
Oxytocin	170
rapamycin	170
fluoxetine	169
NAA	167
thimerosal	165
steroid	165
fatty acid	163
Serotonin	159
copper	156
bumetanide	155
NMDA	142
Zn	141
ATP	140
Aripiprazole	140
glucose	135
lithium	135
glutamine	131
CBD	131
acetylcholine	129
ROS	128
carnitine	128
magnesium	126
lipopolysaccharide	123
25(OH)D	123
creatinine	122
propionic acid	120
memantine	119
homocysteine	119
cocaine	119
paracetamol	117
NAC	115
serine	112
atomoxetine	110
norepinephrine	108
adenosine	108
glycine	106
nicotine	102
ABA	101
Melatonin	101
choline	100
Cu	100
olanzapine	99
acetaminophen	99
lactate	96
1H	95
arsenic	94
nitric oxide	92
haloperidol	87
omega-3 fatty acids	86
ethanol	86
minocycline	84
PCBs	84
MDMA	83
BAP	82
lipids	82
metformin	81
quetiapine	81
PA	81
p-cresol	80
clozapine	80
PGE2	79
Mercury	79
lysine	79
vitamin A	78
cAMP	78
purine	77
carbon	77
vitamin B6	76
poly(I:C)	76
methionine	76
thalidomide	76
oligonucleotide	76
Glutamate	74
steroids	73
aluminum	72
fatty acids	71
cadmium	71
citalopram	71
propranolol	70
chloride	70
guanfacine	70
Thimerosal	70
docosahexaenoic acid	70
Dopamine	68
sertraline	68
Glu	67
amphetamine	67
manganese	67
naltrexone	67
reactive oxygen species	67
propofol	65
everolimus	65
benzodiazepines	63
cysteine	63
levetiracetam	63
estradiol	63
iodine	62
PFAS	62
Valproic acid	62
acetyl-CoA	61
DCS	61
buspirone	60
tyrosine	60
cannabidiol	60
Al	60
resveratrol	59
omega-3	59
ketamine	59
RSV	59
vitamin B12	59
carbohydrate	59
MK-801	59
phthalate	57
arginine	57
PBS	57
endocannabinoid	56
Valproic Acid	56
N-acetylaspartate	56
folinic acid	56
sulforaphane	55
trinucleotide	55
fluvoxamine	54
Calcium	53
25-hydroxyvitamin D	53
glyphosate	53
EPA	52
lamotrigine	52
cannabinoid	52
selenium	51
N-acetylcysteine	51
Cho	51
taurine	51
5-hydroxytryptamine	51
leucine	50
nitrogen	50
polyunsaturated fatty acids	50
vitamin D3	50
potassium	50
DEHP	49
Mg	49
PCB	49
DTT	49
N-methyl-D-aspartate	49
kynurenine	49
vitamin C	48
TC	48
vigabatrin	48
Valproate	47
OT	47
ziprasidone	47
sodium valproate	47
PUFAs	46
5HT	46
sevoflurane	46
dexmedetomidine	46
corticosterone	46
CDD	45
cTBS	45
benzodiazepine	45
C	44
Fluoxetine	44
Creatine	44
Methylphenidate	44
GSSG	44
Hg	43
superoxide	43
DMSA	43
SDQ	43
HFA	43
D-cycloserine	43
Folate	43
Atomoxetine	42
morphine	42
pyruvate	41
MPEP	41
pyridoxine	41
clonidine	41
5-HIAA	41
midazolam	41
phthalates	40
carbamazepine	40
glutamic acid	40
bisphenol A	40
monoamine	39
polychlorinated biphenyls	39
arachidonic acid	39
Resveratrol	39
phospholipids	39
As	38
Bumetanide	38
aluminium	38
donepezil	38
clomipramine	38
sulfate	38
heroin	38
topiramate	37
Alcohol	37
anandamide	37
curcumin	37
histamine	37
PBDEs	37
amantadine	36
SDS	36
2-AG	36
propionate	36
NDDs	36
THR	36
vitamin E	36
retinoic acid	35
organophosphate	35
sucrose	35
THC	35
MCDD	35
terbutaline	35
cannabinoids	35
ozone	35
progesterone	35
SA	34
saline	34
fluoride	34
Propionic acid	33
ASQ	33
arbaclofen	33
NO2	33
mirtazapine	33
JA	32
venlafaxine	32
proline	32
Cd	32
bisphenol	32
ibuprofen	32
TRP	32
ammonia	32
Fe	31
CBDV	31
acamprosate	31
MTT	31
pioglitazone	31
ATX	31
O2	31
thiol	31
N2O	31
SCQ	30
N-methyl-d-aspartate	30
PTZ	30
aspartate	30
Iron	30
RA	30
phenylalanine	30
alanine	30
NDD	30
AQ-10	30
guanidinoacetate	30
CS	30
thiamine	30
bilirubin	29
riluzole	29
CD	29
eicosapentaenoic acid	29
lurasidone	29
paroxetine	29
butyrate	29
Vitamin A	28
E2	28
polyI:C	28
betaine	28
Tryptophan	28
DT	28
Cortisol	28
TCS	28
Memantine	28
baclofen	27
Trp	27
DHPG	27
polycytidylic acid	27
FCT	27
Rapamycin	27
PRT	27
Lipid	26
MPH	26
Acetaminophen	26
caffeine	26
ACh	26
chlorpyrifos	26
carbohydrates	26
Water	26
BCAA	26
DHEA	26
short-chain fatty acids	26
lorazepam	25
GMV	25
cotinine	25
Se	25
pemoline	25
AMPH	25
dioxin	25
clindamycin	25
phospholipid	25
GM	24
DMP	24
AMPA	24
Gly	24
nitrous oxide	24
LEV	24
organic acids	24
phosphocreatine	24
d-cycloserine	24
poly I:C	24
BCAAs	24
DMPS	24
NADH	24
RSB	24
hydrogen	24
GLA	24
thyroxine	24
malondialdehyde	24
Folic acid	24
Hcy	24
PE	23
Lithium	23
heparan sulfate	23
fish oil	23
Cannabidiol	23
ARA	23
vitamin-D	23
sulfur	23
ascorbic acid	23
Cholesterol	23
PBDE	23
Testosterone	23
escitalopram	22
pyrimidine	22
polyinosinic-polycytidylic acid	22
chromium	22
MDA	22
lactulose	22
DMN	22
clonazepam	22
noradrenaline	22
PS	22
suramin	22
triglycerides	22
neopterin	22
GEN	21
camp	21
omega-3 fatty acid	21
Cys	21
oxcarbazepine	21
catecholamine	21
diazepam	21
biotin	21
BDE-47	21
B12	21
nitrite	21
ethylmercury	21
Poly I	21
Metformin	21
TCDD	21
5-hydroxyindoleacetic acid	21
urea	21
OXT	20
SP	20
methamphetamine	20
fructose	20
Sulforaphane	20
Levetiracetam	20
Mg2+	20
PFOA	20
THIM	20
disulfide	20
