Gene	Time
FMRP	1255
Fmr1	947
oxytocin	917
FMR1	911
mTOR	864
MECP2	840
PTEN	837
MeCP2	816
BDNF	807
SHANK3	764
Shank3	656
TSC	607
OXT	506
OXTR	454
ASD	431
CNTNAP2	415
IL-6	415
UBE3A	404
SERT	397
Mecp2	386
mGluR5	362
NRXN1	361
CHD8	360
TSC2	294
Pten	293
mTORC1	284
AUTS2	264
parvalbumin	246
secretin	242
MET	240
TSC1	233
FOXP2	231
ADNP	230
age	228
En2	221
NF1	218
Oxytocin	217
vasopressin	213
CDKL5	212
SCN2A	211
Ube3a	206
RELN	202
GI	201
TNF-alpha	195
oxytocin receptor	195
serotonin transporter	194
DISC1	193
IL-1beta	188
PSD-95	187
NMDAR	183
FOXP1	180
Cntnap2	177
ERK	176
Reelin	174
fragile X mental retardation protein	170
Shank2	167
SHANK2	164
Tsc1	160
MTHFR	160
SLC6A4	159
5-HTTLPR	158
CA1	156
Akt	151
CD4	151
beta-catenin	150
OT	149
DAT	149
PCDH19	147
brain-derived neurotrophic factor	146
IGF-1	146
TCF4	146
VIP	142
SYNGAP1	142
CACNA1C	139
Shank	139
reelin	137
IL-10	136
GABRB3	136
Tsc2	135
TAU	131
mammalian target of rapamycin	130
NLGN3	130
IL1RAPL1	129
DYRK1A	128
MBD5	128
AKT	127
KCC2	122
SCN1A	113
ARX	113
CYFIP1	111
TrkB	110
ER	109
NF-kappaB	105
Age	103
NLGN4X	102
MMP-9	101
GFAP	101
CHAT	100
NLGN4	100
IFN-gamma	99
IL-17A	99
POGZ	97
prolactin	97
Chd8	97
TBR1	97
Cav1.2	96
Dup15q	96
Rac1	96
tau	94
EN2	94
AVP	93
leptin	93
aid	91
RORA	90
ASC	90
CRP	90
GAMT	90
CYP2D6	89
insulin	89
ToM	88
CASPR2	88
AVPR1A	88
CA3	86
ZNF804A	86
MEF2C	85
CARS	85
MAOA	84
methyl-CpG-binding protein 2	83
SLC25A12	82
ADSL	82
c-Fos	82
EHMT1	81
NKCC1	81
fragile X mental retardation 1	81
Shank1	80
ASMT	78
Oxtr	78
GRIN2B	78
Rbfox1	77
OTR	77
CHRNA7	77
CHD2	76
NHE6	74
DRD4	74
SHANK	74
IL-2	73
MAGEL2	73
TPH2	73
NBEA	73
EGF	72
RAI1	71
COMT	71
MBP	71
HTR2A	71
IQSEC2	70
dfmr1	69
PSD95	69
TR	69
GluN2B	69
neurofibromatosis type 1	68
ARID1B	67
KDM5C	67
ANKRD11	67
fmr1	67
Nrf2	67
RBFOX1	66
CS	66
Scn1a	66
neuroligin-3	65
TNFalpha	65
Met	65
VDR	65
PHTS	65
SHANK1	64
CREB	64
NGF	64
IL-4	64
FOXG1	63
NLGN1	63
interleukin-6	63
alpha-synuclein	62
HOXA1	62
Itpr3	62
SLC6A8	62
Nlgn3	62
Foxp1	62
IL-8	62
eIF4E	61
CASK	61
Tau	61
HGF	60
NaV1.2	60
ITGB3	59
SOD	59
Tbr1	59
TBL1XR1	58
MEG	58
ERK1/2	58
PTCHD1	58
Trio	57
PAX6	57
metabotropic glutamate receptor 5	57
CAPS2	57
Abeta	57
NrCAM	56
UPF3B	56
WNT2	55
TLR4	55
tuberin	55
5-HTT	55
KCNQ2	55
ERP	55
GluA2	54
uPAR	54
AdAS	54
Foxp2	53
Auts2	53
Cdkl5	53
CD157	53
DRD2	52
TCF20	52
S100B	52
CADPS2	52
SST	52
BP1	52
ABC	52
Secretin	51
NL3	51
E6AP	51
TRIM32	50
dopamine transporter	50
GSTP1	49
BP2	49
Cyfip1	49
HNF1B	49
adiponectin	49
Fragile X Mental Retardation Protein	48
PAK1	48
NRXN3	48
Caspr2	48
Syngap1	48
CNTN6	48
G-CSF	48
Oxt	48
STXBP1	47
Tcf4	47
PRRT2	47
RhoA	47
SNAP-25	46
Dube3a	46
PP2A	46
NCS-1	46
Arid1b	46
ANK3	46
