0	1	2
PTEN	hamartomas	1
PTEN	dis	1
PTEN	dis	1
PTEN	dis	1
PTEN	dis	1
PTEN	dis	1
PTEN	disorders	1
PTEN	TS	1
PTEN	TS	1
PTEN	TS	1
PTEN	TS	1
PTEN	TS	1
PTEN	abnormal brain scaling	1
PTEN	cancers	1
PTEN	tumor	1
PTEN	tumor	1
PTEN	loss	1
PTEN	loss	1
PTEN	loss	1
PTEN	loss	1
PTEN	loss impacts microtubule	1
PTEN	PTEN hamartoma tumor syndrome	1
PTEN	PTEN hamartoma tumor syndrome	1
PTEN	behavioral deficit	1
PTEN	infection	1
PTEN	dendritic overgrowth	1
PTEN	dendritic overgrowth	1
PTEN	genetic disorder	1
PTEN	hyper	1
PTEN	DD	1
PTEN	hypertrophy	1
PTEN	PTEN hamartoma tumour syndromes	1
PTEN	hyperactivity	1
PTEN	cancer	1
PTEN	cancer	1
PTEN	haploinsufficiency	1
PTEN	PTEN loss dependent dendritic overgrowth	1
PTEN	white matter abnormalities	1
PTEN	PTEN loss	1
PTEN	PTEN loss	1
PTEN	ND	1
PTEN	AD	1
PTEN	AD	1
PTEN	ASD	1
PTEN	ASD	1
PTEN	ASD	1
PTEN	ASD	1
PTEN	ASD	1
PTEN	behavioral deficits	1
PTEN	hyperactivity of neuronal circuits	1
PTEN	arteriovenous malformations	1
PTEN	autism syndrome	1
PTEN	loss of neuronal PTEN	1
PTEN	deficits	1
PTEN	autism spectrum disorder	1
PTEN	autism spectrum disorder	1
PTEN	autism spectrum disorder	1
PTEN	macrocephaly	1
PTEN	macrocephaly	1
PTEN	macrocephaly	1
PTEN	mental delay	1
PTEN	mental delay	1
PTEN	viral infection	1
PTEN	autism spectrum	1
PTEN	autism spectrum	1
PTEN	autism spectrum	1
PTEN	developmental delay	1
PTEN	developmental delay	1
PTEN	meningiomas	1
PTEN	macrocephaly/autism syndrome	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	tic	1
PTEN	CP	1
PTEN	behavioral	1
PTEN	AN	1
PTEN	tic disorder	1
PTEN	Riley-Ruvalcaba syndrome	1
PTEN	autism	1
PTEN	autism	1
PTEN	autism	1
PTEN	autism	1
PTEN	autism	1
PTEN	malformations	1
PTEN	cortical dysplasia	1
miR-592	dis	1
miR-592	lip	1
miR-592	CP	1
miR-592	CP	1
miR-592	CP	1
miR-592	autism	1
TNRC6	AD	1
TNRC6	ASD	1
TNRC6	ASD	1
TNRC6	tic	1
TNRC6	autism	1
Nfkb	ND	1
Stabilin-1	dis	1
Stabilin-1	disorders	1
Stabilin-1	hyperactivity disorder	1
Stabilin-1	attention deficit/hyperactivity	1
Stabilin-1	DS	1
Stabilin-1	sleep behaviors	1
Stabilin-1	major depressive disorder	1
Stabilin-1	insomnia	1
Stabilin-1	hyper	1
Stabilin-1	hyperactivity	1
Stabilin-1	depressive	1
Stabilin-1	schizophrenia	1
Stabilin-1	sleep	1
Stabilin-1	depressive disorder	1
Stabilin-1	attention deficit	1
Stabilin-1	autism spectrum disorder	1
